x	y
-3.894	2.470
-3.858	2.438
-3.813	2.405
-3.777	2.367
-3.728	2.321
-3.677	2.276
-3.622	2.230
-3.568	2.185
-3.513	2.136
-3.458	2.091
-3.404	2.043
-3.336	1.986
-3.263	1.920
-3.203	1.864
-3.133	1.805
-3.058	1.737
-2.954	1.645
-2.846	1.551
-2.746	1.470
-2.626	1.366
-2.493	1.255
-2.381	1.158
-2.258	1.064
-2.122	0.957
-2.023	0.879
-1.917	0.792
-1.805	0.697
-1.700	0.608
-1.625	0.555
-1.547	0.502
-1.487	0.457
-1.416	0.395
-1.331	0.323
-1.222	0.224
-1.145	0.158
-1.099	0.115
-1.037	0.078
-0.968	0.035
-0.897	-7.659e-4
-0.832	-0.098
-0.755	-0.206
-0.677	-0.326
-0.606	-0.444
-0.548	-0.539
-0.498	-0.621
-0.476	-0.716
-0.468	-0.808
-0.449	-0.929
-0.432	-1.028
-0.409	-1.191
-0.393	-1.304
