x	y
-3.898	2.287
-3.846	2.243
-3.781	2.182
-3.688	2.094
-3.592	2.003
-3.462	1.891
-3.337	1.781
-3.222	1.678
-3.084	1.553
-2.928	1.420
-2.785	1.293
-2.622	1.143
-2.492	1.021
-2.368	0.917
-2.227	0.789
-2.101	0.677
-2.022	0.615
-1.927	0.536
-1.843	0.471
-1.741	0.391
-1.641	0.302
-1.519	0.190
-1.432	0.128
-1.309	0.042
-1.211	-0.044
-1.126	-0.125
-1.047	-0.193
-0.976	-0.244
-0.904	-0.306
-0.815	-0.387
-0.753	-0.445
-0.700	-0.497
-0.643	-0.572
-0.586	-0.648
-0.530	-0.723
-0.501	-0.772
-0.479	-0.854
-0.450	-0.948
-0.423	-1.072
-0.398	-1.167
-0.374	-1.278
