x	y
-1.063	2.767
-1.032	2.754
-0.997	2.733
-0.970	2.685
-0.938	2.627
-0.907	2.555
-0.871	2.467
-0.830	2.368
-0.785	2.236
-0.747	2.134
-0.699	2.008
-0.661	1.894
-0.634	1.820
-0.603	1.738
-0.561	1.632
-0.522	1.528
-0.477	1.409
-0.438	1.306
-0.398	1.208
-0.361	1.107
-0.327	1.013
-0.291	0.914
-0.257	0.817
-0.223	0.726
-0.194	0.626
-0.172	0.548
-0.154	0.481
-0.139	0.373
-0.121	0.250
-0.103	0.127
-0.084	0.005
-0.079	-0.113
-0.073	-0.281
-0.068	-0.450
-0.058	-0.670
-0.051	-0.858
-0.044	-1.060
-0.037	-1.246
