x	y
-1.064	2.627
-1.036	2.576
-1.002	2.513
-0.967	2.425
-0.930	2.321
-0.884	2.192
-0.840	2.067
-0.786	1.925
-0.743	1.800
-0.708	1.702
-0.676	1.607
-0.642	1.505
-0.597	1.374
-0.564	1.278
-0.520	1.157
-0.487	1.068
-0.446	0.960
-0.409	0.854
-0.377	0.768
-0.342	0.666
-0.312	0.571
-0.283	0.489
-0.255	0.405
-0.229	0.332
-0.201	0.255
-0.176	0.190
-0.157	0.134
-0.140	0.054
-0.119	-0.045
-0.105	-0.127
-0.088	-0.222
-0.079	-0.354
-0.072	-0.517
-0.064	-0.654
-0.059	-0.796
-0.054	-0.950
-0.048	-1.100
-0.039	-1.306
